gutt.score,subj.id,n_trials
0,Iyla,3
0,Jim_lim,3
0,Pinky,3
0,Robin,3
0,Pat,2
0,Quindoline,2
0,Taipan,2
0,Vula,2
0,Yaiko,2
0,Aura,1
0,Babosa,1
0,Cacao,1
0,Granny,1
0,Harley,1
0,Kaya,1
0,Lip,1
0,Oreo,1
0,Santa,1
0.2,Iyla,10
0.2,Quindoline,10
0.2,Granny,9
0.2,Belanda,8
0.2,Dandi,8
0.2,Harley,6
0.2,Robin,6
0.2,Flame,5
0.2,Pinky,5
0.2,Aura,4
0.2,Babosa,4
0.2,Lip,3
0.2,Pat,3
0.2,Ted,3
0.2,Yaiko,3
0.2,Betina,2
0.2,Jim_lim,2
0.2,Naina,2
0.2,Oreo,2
0.2,Tutu,2
0.2,Ali,1
0.2,Cacao,1
0.2,Kal,1
0.2,Kaya,1
0.2,Santa,1
0.2,Tin_tin,1
0.2,Vula,1
0.2,Whitney,1
0.4,Iyla,4
0.4,Kal,4
0.4,Naina,4
0.4,Babosa,3
0.4,Granny,3
0.4,Lip,3
0.4,Pat,3
0.4,Santa,3
0.4,Whitney,3
0.4,Yaiko,3
0.4,Dandi,2
0.4,Harley,2
0.4,Jim_lim,2
0.4,Oreo,2
0.4,Pinky,2
0.4,Taipan,2
0.4,Ted,2
0.4,Ali,1
0.4,Aura,1
0.4,Belanda,1
0.4,Betina,1
0.4,Cacao,1
0.4,Flame,1
0.4,Kaya,1
0.4,Robin,1
0.4,Vula,1
0.6,Granny,13
0.6,Kal,11
0.6,Ted,11
0.6,Quindoline,10
0.6,Naina,8
0.6,Pinky,7
0.6,Dandi,6
0.6,Boss,5
0.6,Iyla,5
0.6,Pat,5
0.6,Robin,4
0.6,Bat,3
0.6,Belanda,2
0.6,Harley,2
0.6,Oreo,2
0.6,Taipan,2
0.6,Vula,2
0.6,Ali,1
0.6,Betina,1
0.6,Cacao,1
0.6,Eina,1
0.6,Flame,1
0.6,Kaya,1
0.6,Santa,1
0.6,Whitney,1
0.6,Who,1
0.8,Aura,32
0.8,Lip,32
0.8,Granny,30
0.8,Naina,29
0.8,Flame,28
0.8,Kaya,28
0.8,Whitney,28
0.8,Jim_lim,27
0.8,Yaiko,27
0.8,Quindoline,26
0.8,Vula,26
0.8,Robin,23
0.8,Iyla,22
0.8,Dandi,21
0.8,Harley,19
0.8,Santa,19
0.8,Cacao,18
0.8,Pinky,18
0.8,Babosa,15
0.8,Taipan,15
0.8,Ted,13
0.8,Betina,12
0.8,Oreo,12
0.8,Pat,11
0.8,Bat,9
0.8,Tutu,9
0.8,Ali,5
0.8,Kal,5
0.8,Belanda,3
0.8,Tin_tin,3
0.8,Rambo,1
